"Lokasyon","Array ID","Host Name","OS","Provisioned (TB)","Host WWN","Masking View","Storage Group"
"Istanbul","000220201231","ig_genprdrac01","Unknown","205.78","2100f4c7aa04ac76 | 2100f4c7aa04ac77 | 2100f4c7aa04ac80 | 2100f4c7aa04ac81 | 2100f4c7aa04aca0 | 2100f4c7aa04aca1 | 2100f4c7aa04acb0 | 2100f4c7aa04acb1","mv_genprdrac0102_asm_01; mv_genprdrac0102_asm_02; mv_genprdrac01_os","sg_genprdrac0102_asm_01; sg_genprdrac0102_asm_02; sg_genprdrac01_os"
"Istanbul","000220201231","ig_fbprdesx87","VMware ESX","0","100070b7e424140f | 100070b7e4241458","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","ig_fbprdesx85","VMware ESX","0","100070b7e42414d2 | 100070b7e4241525","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","cbprdrac01_ig2","AIX","50.19","210034800dee0de2 | 2100f4c7aa04ac84 | 2100f4c7aa04ac85 | 2100f4c7aa04acc6 | 2100f4c7aa04acc7 | 2100f4c7aa04acec | 2100f4c7aa04aced | 2100f4c7aa04ad0f","mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000220201231","ig_fbprdesx52","VMware ESX","0","10009440c9d00f42 | 10009440c9d00f57","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","cbprdrac04_ig2","AIX","50.19","2100f4c7aa050482 | 2100f4c7aa0504b9 | 2100f4c7aa050500 | 2100f4c7aa050501 | 2100f4c7aa051380 | 2100f4c7aa05d2f7 | 2100f4c7aa05d3e2 | 2100f4c7aa05d3e3","mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000220201231","ig_stoprdapp06","Linux","0","100000620b423b42 | 100000620b424555 | 100000620b42465a | 100000620b42465b | 100000620b42466c | 100000620b42466d","mv_stoprdapp06_gk","sg_stoprdapp06_gk"
"Istanbul","000220201231","cbprdrac02_ig2","AIX","51.76","100070b7e413c64c | 100070b7e413cf78 | 100070b7e413cf79 | 100070b7e413cf7e | 100070b7e413cf7f | 100070b7e413cf96 | 100070b7e413cf99 | 100070b7e413cf9a","mv_cbprdrac02_os; mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac02_os; sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000220201231","cbprdrac01_ig1","AIX","53.39","210034800dee0de3 | 2100f4c7aa04acb4 | 2100f4c7aa04acb5 | 2100f4c7aa04acdc | 2100f4c7aa04acdd | 2100f4c7aa04acf8 | 2100f4c7aa04acf9 | 2100f4c7aa04ad0e","mv_cbprdrac01_os; mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared","sg_cbprdrac01_os; sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared"
"Istanbul","000220201231","ig_genprdrac02","Unknown","205.78","2100f4c7aa0504aa | 2100f4c7aa0504ab | 2100f4c7aa050528 | 2100f4c7aa050529 | 2100f4c7aa050566 | 2100f4c7aa050567 | 2100f4c7aa05d27a | 2100f4c7aa05d27b","mv_genprdrac0102_asm_01; mv_genprdrac0102_asm_02; mv_genprdrac02_os","sg_genprdrac0102_asm_01; sg_genprdrac0102_asm_02; sg_genprdrac02_os"
"Istanbul","000220201231","ig_fbprdesx51","VMware ESX","0","10009440c9d49009 | 10009440c9d4900c","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","ig_fbprdesx53","VMware ESX","0","10009440c9d4000c | 10009440c9d4001e","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000297600649","ig_cbprdrac03_ig2","Unknown","50.19","100070b7e413c7d5 | 100070b7e413c7d6 | 100070b7e413c900 | 100070b7e413c901 | 100070b7e413cf76 | 100070b7e413cf8a | 100070b7e413cfa2 | 100070b7e413cfa3","mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000297600649","cbprdrac04_ig1","AIX","51.82","2100f4c7aa050483 | 2100f4c7aa0504a2 | 2100f4c7aa0504a3 | 2100f4c7aa0504b8 | 2100f4c7aa051381 | 2100f4c7aa05d242 | 2100f4c7aa05d243 | 2100f4c7aa05d2f6","mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared; mv_cbprdrac_vote","sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared; sg_cbprdrac_vote"
"Istanbul","000297600649","ig_msgsprdexc05","Windows","6.86","10009440c90f32ba | 10009440c90f32e1","mv_msgsprdexc05","sg_msgsprdexc05"
"Istanbul","000297600649","ig_hmnprdapp03","VMware ESX","0.82","c0507606df5400ae | c0507606df5400af | c0507606df5400b0 | c0507606df5400b1 | c0507606df5400b2 | c0507606df5400b3 | c0507606df5400b4 | c0507606df5400b5 | c0507606df5400b6 | c0507606df5400b7 | c0507606df5400b8 | c0507606df5400b9 | c0507606df5400ba | c0507606df5400bb | c0507606df5400bc | c0507606df5400bd","mv_hmnprdapp03","sg_hmnprdapp03"
"Istanbul","000297600649","ig_genprdrac02_P10","Unknown","0.02","2100f4c7aa0504aa | 2100f4c7aa0504ab | 2100f4c7aa050528 | 2100f4c7aa050529 | 2100f4c7aa050566 | 2100f4c7aa050567 | 2100f4c7aa05d27a | 2100f4c7aa05d27b","mv_genprdrac_vote","sg_genprdrac_vote"
"Istanbul","000297600649","cbprdrac02_ig1","AIX","51.82","100000620b3e2206 | 100000620b3e2207 | 100070b7e413c64b | 100070b7e413c654 | 100070b7e413c655 | 100070b7e413cf97 | 100070b7e413cfdb | 100070b7e413cfdc","mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared; mv_cbprdrac_vote","sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared; sg_cbprdrac_vote"
