"HostName","Location"
"BNXMSGPRDEXC02","HUAWEI-001-AT32"
"BNXMSGPRDEXC03","HUAWEI-001-AT32"
"BNXMSGPRDEXC04","HUAWEI-001-AT32"
"BNXMSGPRDEXC05","HUAWEI-001-AT32"
"BNXMSGPRDEXC06","HUAWEI-001-AT32"
"BNXMSGPRDEXC07","HUAWEI-001-AT32"
"BNXMSGPRDEXC08","HUAWEI-001-AT32"
"BNXMSGPRDEXC09","HUAWEI-001-AT32"
"EFKEPPRDESX03","HUAWEI-001-AT32"
"EFKEPPRDESX04","HUAWEI-001-AT32"
"BNXMCMPRDRAC01","HUAWEI-001-AT32"
"BNXMCMPRDRAC02","HUAWEI-001-AT32"
"CBPRDLX01","HUAWEI-001-AT32"
"CBPRDLX03","HUAWEI-001-AT32"
"CBPRDLX05","HUAWEI-001-AT32"
"CBPRDLX07","HUAWEI-001-AT32"
"CBPRDLX09","HUAWEI-001-AT32"
"CBPRDLX11","HUAWEI-001-AT32"
"BNXDTLPRDDB01","HUAWEI-001-AT32"
"CBTSTGEN02","HUAWEI-001-AT32"
"FBPRDESX36","HUAWEI-001-AT32"
"FBPRDESX37","HUAWEI-001-AT32"
"FBPRDESX38","HUAWEI-001-AT32"
"FBPRDESX39","HUAWEI-001-AT32"
"FBPRDESX40","HUAWEI-001-AT32"
"FBPRDESX41","HUAWEI-001-AT32"
"VDIPRDVM06","HUAWEI-001-AT32"
"VDIPRDVM07","HUAWEI-001-AT32"
"NBUPRDMST02","HUAWEI-001-AT32"
"SCETSTAPP05","HUAWEI-001-AT32"
"BNXEDPRDAPP01","HUAWEI-001-AT32"
"HCETSTRAC01","HUAWEI-001-AT32"
"HCETSTRAC02","HUAWEI-001-AT32"
"ODITSTDB02","HUAWEI-001-AT32"
"UCMPRDDB03","HUAWEI-001-AT32"
"SGXLINTSTRAC01","HUAWEI-001-AT32"
"LSXLSNTSTRAC01","HUAWEI-001-AT32"
"LSXLSNTSTRAC02","HUAWEI-001-AT32"
