"Lokasyon","Kabin_Adi","Host_Name","Host_Group","Protocol","IQN_WWN"
"ISTANBUL","PURE_005","KSAODITSTDB01","None","FC","C050760C116C0040;C050760C116C0041;C050760C116C0042;C050760C116C0043;C050760C116C0044;C050760C116C0045;C050760C116C0046;C050760C116C0047;C050760C116C0048;C050760C116C0049;C050760C116C004A;C050760C116C004B;C050760C116C004C;C050760C116C004D;C050760C116C004E;C050760C116C004F"
"ISTANBUL","PURE_005","ELKPRDDAT06","None","FC","10009440C9D095A5;10009440C9D0A50C"
"ISTANBUL","PURE_005","PGMPRDRAC01","PGMPRDRAC0102","FC","51402EC001CA6ED8;51402EC001CA6EDA;51402EC001CA6EDC;51402EC001CA6EDE"
"ISTANBUL","PURE_005","PGMPRDRAC02","PGMPRDRAC0102","FC","51402EC001CA790C;51402EC001CA790E"
"ISTANBUL","PURE_005","CBDEVDB01","None","FC","C0507606DF5300C2;C0507606DF5300C3;C0507606DF5300C4;C0507606DF5300C5;C0507606DF5300C6;C0507606DF5300C7;C0507606DF5300C8;C0507606DF5300C9;C0507606DF5300CA;C0507606DF5300CB;C0507606DF5300CC;C0507606DF5300CD;C0507606DF5300CE;C0507606DF5300CF;C0507606DF5300D0;C0507606DF5300D1"
"ISTANBUL","PURE_005","SWPRDMGW02","None","FC","C050760C116C0060;C050760C116C0061;C050760C116C0062;C050760C116C0063;C050760C116C0064;C050760C116C0065;C050760C116C0066;C050760C116C0067;C050760C116C0068;C050760C116C0069;C050760C116C006A;C050760C116C006B;C050760C116C006C;C050760C116C006D;C050760C116C006E;C050760C116C006F"
"ISTANBUL","PURE_005","SWPRDMGW01","None","FC","C050760C116A0030;C050760C116A0031;C050760C116A0032;C050760C116A0033;C050760C116A0034;C050760C116A0035;C050760C116A0036;C050760C116A0037;C050760C116A0038;C050760C116A0039;C050760C116A003A;C050760C116A003B;C050760C116A003C;C050760C116A003D;C050760C116A003E;C050760C116A003F"
"ISTANBUL","PURE_005","ELKPRDDAT10","None","FC","10009440C9D4B7A5;10009440C9D4D73F"
"ISTANBUL","PURE_005","KFTPRDRAC01","KFTPRDRAC0102","FC","C050760C116A0040;C050760C116A0041;C050760C116A0042;C050760C116A0043;C050760C116A0044;C050760C116A0045;C050760C116A0046;C050760C116A0047;C050760C116A0048;C050760C116A0049;C050760C116A004A;C050760C116A004B;C050760C116A004C;C050760C116A004D;C050760C116A004E;C050760C116A004F"
"ISTANBUL","PURE_005","KFTPRDRAC02","KFTPRDRAC0102","FC","C050760C116C0070;C050760C116C0071;C050760C116C0072;C050760C116C0073;C050760C116C0074;C050760C116C0075;C050760C116C0076;C050760C116C0077;C050760C116C0078;C050760C116C0079;C050760C116C007A;C050760C116C007B;C050760C116C007C;C050760C116C007D;C050760C116C007E;C050760C116C007F"
"ISTANBUL","PURE_005","CSGENMST01","None","FC","C050760C014F0000;C050760C014F0001;C050760C014F0002;C050760C014F0003;C050760C014F0004;C050760C014F0005;C050760C014F0006;C050760C014F0007;C050760C014F0008;C050760C014F0009;C050760C014F000A;C050760C014F000B;C050760C014F000C;C050760C014F000D;C050760C014F000E;C050760C014F000F"
"ISTANBUL","PURE_005","TRHPRDAPP03","None","FC","10009440C9D44700;10009440C9D44793"
"ISTANBUL","PURE_005","ATLTSTRAC01","ATLTSTRAC0102","FC","C050760B140D0090;C050760B140D0091;C050760B140D0092;C050760B140D0093;C050760B140D0094;C050760B140D0095;C050760B140D0096;C050760B140D0097;C050760B140D0098;C050760B140D0099;C050760B140D009A;C050760B140D009B;C050760B140D009C;C050760B140D009D;C050760B140D009E;C050760B140D009F"
"ISTANBUL","PURE_005","ATLTSTRAC02","ATLTSTRAC0102","FC","C050760B140E0098;C050760B140E0099;C050760B140E009A;C050760B140E009B;C050760B140E009C;C050760B140E009D;C050760B140E009E;C050760B140E009F;C050760B140E00A0;C050760B140E00A1;C050760B140E00A2;C050760B140E00A3;C050760B140E00A4;C050760B140E00A5;C050760B140E00A6;C050760B140E00A7"
"ISTANBUL","PURE_005","ELKPRDDAT12","None","FC","10009440C9D4D72D;10009440C9D4D742"
"ISTANBUL","PURE_005","GENTSTRAC01","GENTSTRAC0102","FC","C050760435A00404;C050760435A00405;C050760435A00406;C050760435A00407;C050760435A00408;C050760435A00409;C050760435A0040A;C050760435A0040B;C050760435A0040C;C050760435A0040D;C050760435A0040E;C050760435A0040F;C050760435A00410;C050760435A00411;C050760435A00412;C050760435A00413"
"ISTANBUL","PURE_005","GENTSTRAC02","GENTSTRAC0102","FC","C05076043613037A;C05076043613037B;C05076043613037C;C05076043613037D;C05076043613037E;C05076043613037F;C050760436130380;C050760436130381;C050760436130382;C050760436130383;C050760436130384;C050760436130385;C050760436130386;C050760436130387;C050760436130388;C050760436130389"
"ISTANBUL","PURE_005","SEAPRDRAC02","SEAPRDRAC","FC","C050760C116C0082;C050760C116C0083;C050760C116C0084;C050760C116C0085;C050760C116C0086;C050760C116C0087;C050760C116C0088;C050760C116C0089;C050760C116C008A;C050760C116C008B;C050760C116C008C;C050760C116C008D;C050760C116C008E;C050760C116C008F;C050760C116C0090;C050760C116C0091"
"ISTANBUL","PURE_005","SEAPRDRAC01","SEAPRDRAC","FC","C050760C116A005A;C050760C116A005B;C050760C116A005C;C050760C116A005D;C050760C116A005E;C050760C116A005F;C050760C116A0060;C050760C116A0061;C050760C116A0062;C050760C116A0063;C050760C116A0064;C050760C116A0065;C050760C116A0066;C050760C116A0067;C050760C116A0068;C050760C116A0069"
