"Lokasyon","Kabinet","Policy Adi","LUN / Obje","Host","Periyot","Saklama","Durum","Tip"
"Istanbul","UMR_CLS","default","EXT_81195_3th_root","EXT_81195_3th","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_femdlpreapp","CIGNA","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_cbprdsch","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","HEMENAL_TEST_root","HEMENAL_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_ocptstgen10_rwm","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_shadowcopy","DEPOT","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_datstapp","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","cb_test_printing1","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","Fsprdcln","HukukTakip","PSTNASARC01","1 gun","4 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","Daily_1_snap","vol_fftstcdvapp","FinansFaktoring","1 gun","1 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","Daily_1_snap","vol_output_nfs","FinansLeasing","1 gun","1 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_pega_test","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","Fsprdcln","HizmetMerkezi","PSTNASARC01","1 gun","4 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","Daily_1_snap","vol_cnftstapp10","GENERIC_TEST","1 gun","1 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_femdlpprdapp","CIGNA","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_sfdtstmq0102","GENERIC_TEST","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_sasdepot","GENERIC_PROD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","fsnasen01_root","fsnasen01","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","CIGNA_LOG_root","CIGNA_CALL_RECORD","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","vol_App_Files_Preprod","INFRA_Preprod","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
"Istanbul","UMR_CLS","default","INFRA_Test_root","INFRA_Test","1 saat + 1 gun + 1 hafta","6 kopya + 2 kopya + 2 kopya","Aktif","NetApp"
