"Lokasyon","Fabric","SwitchName","PortIndex","Slot","Port","Speed","State","Role","PortWWN","Alias","EncOut","CRC","DiscC3","DiscC3Level","SFP"
"Istanbul","A","AI18FC187","194","5","2","32G","Online","Host","29:00:cc:bc:e3:01:6e:35","",,,"0","",""
"Istanbul","A","AI18FC187","195","5","3","32G","Online","Host","10:00:94:40:c9:d4:87:4e","Emulex PPN-10:00:94:40:c9:d4:87:4e",,,"0","",""
"Istanbul","A","AI18FC187","196","5","4","32G","Online","Host","29:92:cc:bc:e3:01:6d:fe","",,,"0","",""
"Istanbul","A","AI18FC187","197","5","5","64G","Online","Host","10:00:70:b7:e4:22:85:bd","Emulex PPN-10:00:70:b7:e4:22:85:bd",,,"0","",""
"Istanbul","A","AI18FC187","198","5","6","32G","Online","Host","21:00:f4:c7:aa:05:d1:5a","",,,"0","",""
"Istanbul","A","AI18FC187","199","5","7","64G","Online","Host","10:00:00:62:0b:3c:18:2e","Emulex PPN-10:00:00:62:0B:3C:18:2E",,,"0","",""
"Istanbul","A","AI18FC187","200","5","8","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","201","5","9","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","202","5","10","16G","Online","Host","51:40:2e:c0:11:08:98:d4","SN1100Q FW:v9.14.00 DVR:v5.4.83.1",,,"0","",""
"Istanbul","A","AI18FC187","203","5","11","16G","Online","Host","51:40:2e:c0:12:ca:e3:6a","QLogic Port1 WWPN 51:40:2e:c0:12:ca:e3:6a.......................",,,"0","",""
"Istanbul","A","AI18FC187","204","5","12","64G","Online","Host","10:00:5c:ed:8c:55:89:57","Emulex PPN-10:00:5c:ed:8c:55:89:57",,,"0","",""
"Istanbul","A","AI18FC187","205","5","13","16G","Online","Host","51:40:2e:c0:12:3f:46:8c","SN1100Q FW:v9.09.00 DVR:v10.02.09.100-k",,,"0","",""
"Istanbul","A","AI18FC187","206","5","14","64G","Online","Storage","52:4a:93:77:8a:df:89:4c","",,,"0","",""
"Istanbul","A","AI18FC187","207","5","15","16G","Online","Host","51:40:2e:c0:01:ca:88:a0","SN1100Q FW:v9.15.05 DVR:v10.02.07.900-k",,,"0","",""
"Istanbul","A","AI18FC187","208","5","16","32G","Online","Storage","50:00:09:74:10:13:3b:0b","EMC-201230 ORC-13c b",,,"7","warning",""
"Istanbul","A","AI18FC187","209","5","17","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","210","5","18","32G","Online","Host","28:f2:cc:bc:e3:01:6d:fe","",,,"0","",""
"Istanbul","A","AI18FC187","211","5","19","64G","Online","Host","10:00:5c:ed:8c:55:69:c0","2",,,"0","",""
"Istanbul","A","AI18FC187","212","5","20","64G","No_Sync","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","213","5","21","32G","Online","Host","10:00:b4:7a:f1:6e:3a:48","Emulex PPN-10:00:b4:7a:f1:6e:3a:48",,,"0","",""
"Istanbul","A","AI18FC187","214","5","22","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","215","5","23","64G","Online","Host","10:00:70:b7:e4:24:12:a5","Emulex PPN-10:00:70:b7:e4:24:12:a5",,,"0","",""
"Istanbul","A","AI18FC187","216","5","24","16G","Online","Host","51:40:2e:c0:12:ca:e2:14","QLogic Port0 WWPN 51:40:2e:c0:12:ca:e2:14.......................",,,"0","",""
"Istanbul","A","AI18FC187","217","5","25","32G","Online","Host",,"",,,"123","alarm",""
"Istanbul","A","AI18FC187","218","5","26","64G","Online","Host","10:00:5c:ed:8c:55:29:27","Emulex PPN-10:00:5C:ED:8C:55:29:27",,,"0","",""
"Istanbul","A","AI18FC187","219","5","27","32G","Online","Host","10:00:94:40:c9:d4:00:1b","Emulex PPN-10:00:94:40:c9:d4:00:1b",,,"0","",""
"Istanbul","A","AI18FC187","220","5","28","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","221","5","29","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","222","5","30","32G","Online","Host","10:00:00:10:9b:d8:b8:22","1",,,"0","",""
"Istanbul","A","AI18FC187","223","5","31","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","224","5","32","16G","Online","Storage","50:06:0e:80:12:3e:f3:28","",,,"0","",""
"Istanbul","A","AI18FC187","225","5","33","32G","Online","Host","10:00:b4:7a:f1:d2:37:2e","1",,,"0","",""
"Istanbul","A","AI18FC187","226","5","34","32G","Online","Host","10:00:94:40:c9:d4:d7:4e","Emulex PPN-10:00:94:40:c9:d4:d7:4e",,,"0","",""
"Istanbul","A","AI18FC187","227","5","35","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","228","5","36","16G","Online","Host","51:40:2e:c0:15:52:31:12","",,,"0","",""
"Istanbul","A","AI18FC187","229","5","37","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","230","5","38","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","231","5","39","32G","Online","Host","10:00:94:40:c9:d0:9c:22","3",,,"0","",""
"Istanbul","A","AI18FC187","232","5","40","32G","Online","Host","29:62:cc:bc:e3:01:6d:f8","",,,"0","",""
"Istanbul","A","AI18FC187","233","5","41","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","234","5","42","64G","Online","Storage","52:4a:93:77:8a:df:89:49","",,,"0","",""
"Istanbul","A","AI18FC187","235","5","43","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","236","5","44","16G","Online","Host","51:40:2e:c0:12:3f:46:70","SN1100Q FW:v9.09.00 DVR:v10.02.09.100-k",,,"0","",""
"Istanbul","A","AI18FC187","237","5","45","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","238","5","46","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","239","5","47","64G","Online","Host","10:00:00:62:0b:42:46:21","0",,,"0","",""
