"Lokasyon","Fabric","SwitchName","PortIndex","PortWWN","Alias","State","Speed"
"Istanbul","A","AI18FC187","307","10:00:94:40:c9:d0:95:4e","Emulex PPN-10:00:94:40:c9:d0:95:4e","Online","32G"
"Istanbul","A","AI18FC187","308","10:00:94:40:c9:d0:85:f0","0","Online","32G"
"Istanbul","A","AI18FC187","312","51:40:2e:c0:15:51:d0:00","SN1100Q FW:v9.14.00 DVR:v5.4.85.0","Online","16G"
"Istanbul","A","AI18FC187","314","51:40:2e:c0:15:52:33:66","SN1100Q FW:v9.15.05 DVR:v10.02.08.200-k","Online","16G"
"Istanbul","A","AI18FC187","315","10:00:70:b7:e4:24:15:6c","Emulex PPN-10:00:70:b7:e4:24:15:6c","Online","64G"
"Istanbul","A","AI18FC187","316","51:40:2e:c0:15:52:28:e0","","Online","16G"
"Istanbul","A","AI18FC187","317","21:00:f4:c7:aa:04:ad:0d","","Online","32G"
"Istanbul","A","AI18FC187","318","10:00:94:40:c9:0f:32:e1","Emulex PPN-10:00:94:40:C9:0F:32:E1","Online","16G"
"Istanbul","A","AI18FC187","319","10:00:94:40:c9:d0:96:5a","Emulex PPN-10:00:94:40:C9:D0:96:5A","Online","32G"
"Istanbul","A","AI18FC187","320","21:00:f4:c7:aa:05:d2:dc","","Online","32G"
"Istanbul","A","AI18FC187","323","10:00:94:40:c9:d0:e3:0c","Emulex PPN-10:00:94:40:c9:d0:e3:0c","Online","32G"
"Istanbul","A","AI18FC187","324","51:40:2e:c0:15:52:32:3a","","Online","16G"
"Istanbul","A","AI18FC187","325","21:00:f4:c7:aa:05:d1:8f","","Online","32G"
"Istanbul","A","AI18FC187","326","10:00:94:40:c9:cf:41:ba","Emulex PPN-10:00:94:40:c9:cf:41:ba","Online","32G"
"Istanbul","A","AI18FC187","327","10:00:94:40:c9:d0:4b:3a","7","Online","32G"
"Istanbul","A","AI18FC187","329","10:00:00:62:0b:43:5c:36","Emulex PPN-10:00:00:62:0B:43:5C:36","Online","32G"
"Istanbul","A","AI18FC187","330","51:40:2e:c0:12:cc:ea:d2","SN1100Q FW:v9.15.05 DVR:v10.02.09.100-k","Online","16G"
"Istanbul","A","AI18FC187","331","51:40:2e:c0:12:3f:cc:e8","QLogic Port0 WWPN 51:40:2e:c0:12:3f:cc:e8.......................","Online","16G"
"Istanbul","A","AI18FC187","333","51:40:2e:c0:14:84:45:d8","QLogic Port0 WWPN 51:40:2e:c0:14:84:45:d8.......................","Online","16G"
"Istanbul","A","AI18FC187","334","28:b2:a8:d4:e0:5d:d4:d4","","Online","32G"
"Istanbul","A","AI18FC187","335","10:00:94:40:c9:cf:31:30","Emulex PPN-10:00:94:40:c9:cf:31:30","Online","32G"
"Istanbul","A","AI18FC187","384","10:00:00:62:0b:43:64:45","Emulex PPN-10:00:00:62:0B:43:64:45","Online","32G"
"Istanbul","A","AI18FC187","385","10:00:00:62:0b:43:56:81","Emulex PPN-10:00:00:62:0b:43:56:81","Online","32G"
"Istanbul","A","AI18FC187","386","29:a1:a8:d4:e0:5d:d4:b7","","Online","32G"
"Istanbul","A","AI18FC187","387","10:00:94:40:c9:d4:27:75","Emulex PPN-10:00:94:40:c9:d4:27:75","Online","32G"
"Istanbul","A","AI18FC187","388","29:00:cc:bc:e3:01:6e:38","","Online","32G"
"Istanbul","A","AI18FC187","389","10:00:94:40:c9:d4:e7:84","Emulex PPN-10:00:94:40:c9:d4:e7:84","Online","32G"
"Istanbul","A","AI18FC187","390","10:00:00:62:0b:43:5a:81","0","Online","32G"
"Istanbul","A","AI18FC187","392","10:00:5c:ed:8c:55:89:f1","Emulex PPN-10:00:5c:ed:8c:55:89:f1","Online","64G"
"Istanbul","A","AI18FC187","393","10:00:00:62:0b:42:46:5a","Emulex PPN-10:00:00:62:0B:42:46:5A","Online","64G"
"Istanbul","A","AI18FC187","394","10:00:94:40:c9:d0:96:51","Emulex PPN-10:00:94:40:C9:D0:96:51","Online","32G"
"Istanbul","A","AI18FC187","395","28:22:cc:bc:e3:01:6d:fe","","Online","32G"
"Istanbul","A","AI18FC187","396","10:00:94:40:c9:d4:a7:36","Emulex PPN-10:00:94:40:c9:d4:a7:36","Online","32G"
"Istanbul","A","AI18FC187","397","10:00:94:40:c9:d4:b7:c6","Emulex PPN-10:00:94:40:c9:d4:b7:c6","Online","32G"
"Istanbul","A","AI18FC187","398","10:00:94:40:c9:d4:a7:a2","Emulex PPN-10:00:94:40:c9:d4:a7:a2","Online","32G"
"Istanbul","A","AI18FC187","400","10:00:00:62:0b:43:5a:21","Emulex PPN-10:00:00:62:0b:43:5a:21","Online","32G"
"Istanbul","A","AI18FC187","401","51:40:2e:c0:12:ca:e1:c4","QLogic Port0 WWPN 51:40:2e:c0:12:ca:e1:c4.......................","Online","16G"
"Istanbul","A","AI18FC187","403","10:00:70:b7:e4:24:15:69","Emulex PPN-10:00:70:b7:e4:24:15:69","Online","64G"
"Istanbul","A","AI18FC187","406","10:00:00:62:0b:43:62:1c","Emulex PPN-10:00:00:62:0B:43:62:1C","Online","32G"
"Istanbul","A","AI18FC187","407","10:00:00:62:0b:43:55:b4","Emulex PPN-10:00:00:62:0b:43:55:b4","Online","32G"
"Istanbul","A","AI18FC187","408","10:00:00:62:0b:42:3c:5b","3","Online","64G"
"Istanbul","A","AI18FC187","410","10:00:00:62:0b:42:45:be","3","Online","64G"
"Istanbul","A","AI18FC187","412","29:92:ac:99:29:92:39:7f","","Online","32G"
"Istanbul","A","AI18FC187","414","28:c2:cc:bc:e3:01:6d:fe","","Online","32G"
"Istanbul","A","AI18FC187","415","10:00:70:b7:e4:24:13:9f","Emulex PPN-10:00:70:b7:e4:24:13:9f","Online","64G"
"Istanbul","A","AI18FC187","417","10:00:00:62:0b:3c:18:2d","Emulex PPN-10:00:00:62:0B:3C:18:2D","Online","64G"
"Istanbul","A","AI18FC187","418","29:00:a8:d4:e0:5d:d4:b7","","Online","32G"
"Istanbul","A","AI18FC187","419","51:40:2e:c0:12:ca:e8:92","QLogic Port1 WWPN 51:40:2e:c0:12:ca:e8:92.......................","Online","16G"
"Istanbul","A","AI18FC187","420","28:b0:cc:bc:e3:01:6e:38","","Online","32G"
"Istanbul","A","AI18FC187","421","10:00:94:40:c9:d0:82:2e","1","Online","32G"
"Istanbul","A","AI18FC187","422","21:00:f4:c7:aa:05:10:94","","Online","32G"
"Istanbul","A","AI18FC187","423","29:72:a8:d4:e0:5d:d4:a5","","Online","32G"
"Istanbul","A","AI18FC187","424","10:00:5c:ed:8c:55:29:21","Emulex PPN-10:00:5C:ED:8C:55:29:21","Online","64G"
"Istanbul","A","AI18FC187","427","51:40:2e:c0:11:08:8b:24","SN1100Q FW:v9.14.00 DVR:v5.4.83.1","Online","16G"
"Istanbul","A","AI18FC187","429","10:00:00:62:0b:43:55:e7","Emulex PPN-10:00:00:62:0b:43:55:e7","Online","32G"
"Istanbul","A","AI18FC187","430","10:00:70:b7:e4:24:10:94","Emulex PPN-10:00:70:b7:e4:24:10:94","Online","64G"
"Istanbul","A","AI18FC187","480","28:b0:a8:d4:e0:5d:d4:b7","","Online","32G"
"Istanbul","A","AI18FC187","481","51:40:2e:c0:01:ca:88:9c","SN1100Q FW:v9.09.00 DVR:v10.02.08.400-k","Online","16G"
"Istanbul","A","AI18FC187","484","51:40:2e:c0:01:ca:b5:50","SN1100Q FW:v9.14.00 DVR:v5.4.85.0","Online","16G"
"Istanbul","A","AI18FC187","485","28:f0:60:a6:c5:ea:68:02","","Online","32G"
