"Lokasyon","Kabinet","Host Name","OS","Host Group","Protocol","Provisioned (TB)","Host WWN"
"Istanbul","PURE_07B","SIMPRDESX01","VMware ESX","SIMPRDESX","FC","121","51:40:2e:c0:01:ca:64:86 | 51:40:2e:c0:01:ca:b4:b2"
"Istanbul","PURE_07B","SIMPRDESX02","VMware ESX","SIMPRDESX","FC","121","51:40:2e:c0:01:ca:b5:12 | 51:40:2e:c0:01:ca:b5:6a"
"Istanbul","PURE_07B","SIMPRDESX03","VMware ESX","SIMPRDESX","FC","121","10:00:94:40:c9:d0:95:4e | 10:00:94:40:c9:d0:95:fc"
"Istanbul","PURE_07B","SIMPRDESX04","VMware ESX","SIMPRDESX","FC","121","10:00:70:b7:e4:24:10:8b | 10:00:70:b7:e4:24:11:63"
"Istanbul","PURE_07B","SIMPRDESX05","VMware ESX","SIMPRDESX","FC","121","10:00:70:b7:e4:24:0f:ac | 10:00:70:b7:e4:24:10:bd"
"Istanbul","PURE_07B","PSPRDESX19","VMware ESX","PSPRDESX","FC","30.26","51:40:2e:c0:01:c8:5a:44 | 51:40:2e:c0:01:c8:5a:46"
"Istanbul","PURE_07B","SEAPRDRAC01","AIX","SEAPRDRAC","FC","0.03","c0:50:76:0c:11:6a:00:5a | c0:50:76:0c:11:6a:00:5b | c0:50:76:0c:11:6a:00:5c | c0:50:76:0c:11:6a:00:5d | c0:50:76:0c:11:6a:00:5e | c0:50:76:0c:11:6a:00:5f | c0:50:76:0c:11:6a:00:60 | c0:50:76:0c:11:6a:00:61 | c0:50:76:0c:11:6a:00:62 | c0:50:76:0c:11:6a:00:63 | c0:50:76:0c:11:6a:00:64 | c0:50:76:0c:11:6a:00:65 | c0:50:76:0c:11:6a:00:66 | c0:50:76:0c:11:6a:00:67 | c0:50:76:0c:11:6a:00:68 | c0:50:76:0c:11:6a:00:69"
"Istanbul","PURE_07B","SEAPRDRAC02","AIX","SEAPRDRAC","FC","0.03","c0:50:76:0c:11:6c:00:82 | c0:50:76:0c:11:6c:00:83 | c0:50:76:0c:11:6c:00:84 | c0:50:76:0c:11:6c:00:85 | c0:50:76:0c:11:6c:00:86 | c0:50:76:0c:11:6c:00:87 | c0:50:76:0c:11:6c:00:88 | c0:50:76:0c:11:6c:00:89 | c0:50:76:0c:11:6c:00:8a | c0:50:76:0c:11:6c:00:8b | c0:50:76:0c:11:6c:00:8c | c0:50:76:0c:11:6c:00:8d | c0:50:76:0c:11:6c:00:8e | c0:50:76:0c:11:6c:00:8f | c0:50:76:0c:11:6c:00:90 | c0:50:76:0c:11:6c:00:91"
"Istanbul","PURE_07B","PURE-EE18-005:STOTSTAPP04","Linux","","FC","0","10:00:94:40:c9:d0:1b:18 | 10:00:94:40:c9:d0:1b:19 | 10:00:94:40:c9:d0:4b:39 | 10:00:94:40:c9:d0:4b:3a | 10:00:94:40:c9:d0:7c:d2 | 10:00:94:40:c9:d0:7c:d3 | 10:00:94:40:c9:d0:9c:21 | 10:00:94:40:c9:d0:9c:22"
"Istanbul","PURE_07B","PURE-EE18-005:ELKPRDDAT02","Linux","","FC","0","10:00:00:10:9b:17:5c:86 | 10:00:00:10:9b:17:5c:a1"
